name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4,time signature_4/8
blackvelvet2.mid,0.8432271574257024,26,91,65,94,112,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
blackvelvet.mid,0.8606209603420764,26,88,62,97,110,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackst2.mid,0.6869098420321056,28,91,63,126,106,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
blackvel.mid,0.8606209603420764,26,88,62,97,110,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackstar.mid,0.7497110899131058,23,76,53,106,73,Black,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLACKSMT.MID,0.8604652106043666,33,81,48,185,73,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
blacksmith.mid,0.9194767833762744,35,90,55,80,98,Black,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackriver.mid,0.5857519298262703,21,88,67,110,94,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blackomen2.mid,0.3635734082023871,29,98,69,80,68,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
blackomen.mid,0.3635734082023871,29,98,69,80,68,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
blacknight.mid,0.7908059295618842,28,79,51,137,120,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
blackmgcwmn.mid,0.8387928650481938,17,84,67,120,92,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BlackMountainSide.mid,0.7418498961193003,38,81,43,100,100,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blackmagicwoman2.mid,0.8380759108716556,26,98,72,126,90,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BlackMarket.mid,0.8234768363013205,21,89,68,120,80,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
blackmagic.mid,0.697632071142154,31,86,55,120,114,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Blackmoremore.mid,0.8460123336084381,35,71,36,128,108,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
blackmg.mid,0.697632071142154,31,86,55,120,114,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BlackMagicWoman.mid,0.871121766333521,36,86,50,120,80,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blackmag2.mid,0.8352758988024206,26,86,60,118,109,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blackmag.mid,0.8210716747063054,26,86,60,118,93,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blackisblack.mid,0.7758763970257431,33,81,48,128,99,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackice.mid,0.903888047891018,31,98,67,100,64,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BlackKey.mid,0.9139731368200802,32,99,67,100,57,Black,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackhle.mid,0.7362938883199667,36,94,58,78,118,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Blackhole.mid,0.7463334178831066,28,94,66,78,117,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
blackhole2.mid,0.7569787507948907,27,90,63,42,113,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blackjack.mid,0.7616966194093034,29,81,52,288,94,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blackhillsgold.mid,0.8079161672979301,33,83,50,46,97,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BLACKHAWKE.I'm not strong enough.MID,0.9282651894004736,25,80,55,110,78,Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BlackFriday.mid,0.7402933945756653,26,86,60,130,114,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
White Zombie - Black Sunshine.mid,0.7518716707377895,28,76,48,165,103,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Will Smith - Men In Black.mid,0.8776489566368108,29,98,69,115,98,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Black Ball Line.mid,0.8707412032060927,27,87,60,120,75,Black,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Soundgarden - Black Hole Sun.mid,0.7084576421686719,27,90,63,52,117,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Slayer - Black Magic.mid,0.5963081464092761,36,87,51,164,95,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Megadeth - Good Mourning Black Friday.mid,0.7072929174783956,27,85,58,115,92,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Los Bravos - Black Is Black.mid,0.7758763970257431,33,81,48,128,99,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
In Flames - Artifacts Of The Black Rain.mid,0.8919685693246528,39,78,39,135,93,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chasing The Black - Caped Man.mid,0.7597288621090642,40,96,56,100,94,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bob_dylan-man_in_the_long_black_coat.mid,0.877952295588514,31,76,45,76,80,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cradle Of Filth - The Black Goddess Rises.mid,0.2812224207778073,26,84,58,110,94,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bluegrass - Black Mountain Rag.mid,0.8866813095470711,40,84,44,250,100,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bluegrass_-_Black_Mountain_Rag.mid,0.8866813095470711,40,84,44,250,100,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bluegrass_Black_Mountain_Rag.mid,0.8866813095470711,40,84,44,250,100,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Horst Jankowski - A Walk In The Black Forest.mid,0.6806993147604664,28,92,64,112,82,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob Dylan - Man In The Long Black Coat.mid,0.877952295588514,31,76,45,76,80,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brainkicker vs Noise Controllers - Always Black.mid,0.7206528503386427,43,72,29,146,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Brainkicker_vs_Noise_Controllers_-_Always_Black__D.jet_20071116141522.mid,0.7206528503386427,43,72,29,146,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
