,name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_3/8,time signature_4/4,key_g# minor,time signature_4/8
99,blueda.mid,0.8049027955104062,18,87,69,129,124,Blue,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0
100,BlueChristmas.mid,0.9654036909618364,35,86,51,104,63,Blue,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
101,bluecars.mid,0.8960966705693374,37,76,39,120,100,Blue,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
102,bluedanu.mid,0.9308136096562064,36,95,59,195,66,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0
103,bluedan.mid,0.9448862939106784,40,93,53,183,125,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0
104,bluebox.mid,0.8514936347388627,27,85,58,100,47,Blue,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
105,BlueBird.mid,0.930258437306156,27,113,86,88,76,Blue,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
106,BLUEBERY.MID,0.9331217263481246,28,76,48,75,97,Blue,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
107,bluebayou2.mid,0.9269051818571888,31,98,67,110,70,Blue,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
108,BlueBayou.mid,0.8592118456322781,28,86,58,120,72,Blue,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
